day,train,departure_time,status
Monday,T01,06:00:00,ACTIVE
Monday,T02,06:08:30,ACTIVE
Monday,T03,06:17:00,ACTIVE
Monday,T04,06:25:30,ACTIVE
Monday,T05,06:34:00,ACTIVE
Monday,T06,06:42:30,ACTIVE
Monday,T07,06:51:00,ACTIVE
Monday,T08,06:59:30,ACTIVE
Monday,T09,07:00:00,ACTIVE
Monday,T10,07:06:45,ACTIVE
Monday,T11,07:13:30,ACTIVE
Monday,T12,07:20:15,ACTIVE
Monday,T13,07:27:00,ACTIVE
Monday,T14,07:33:45,ACTIVE
Monday,T15,07:40:30,ACTIVE
Monday,T16,07:47:15,ACTIVE
Monday,T17,07:54:00,ACTIVE
Monday,T18,08:00:45,ACTIVE
Monday,T19,08:07:30,ACTIVE
Monday,T20,08:14:15,ACTIVE
Monday,T26,08:21:00,ACTIVE
Monday,T27,08:27:45,ACTIVE
Monday,T28,08:34:30,ACTIVE
Monday,T29,08:41:15,ACTIVE
Monday,T30,08:48:00,ACTIVE
Monday,T01,08:54:45,ACTIVE
Monday,T02,09:00:00,ACTIVE
Monday,T03,09:08:30,ACTIVE
Monday,T04,09:17:00,ACTIVE
Monday,T05,09:25:30,ACTIVE
Monday,T06,09:34:00,ACTIVE
Monday,T07,09:42:30,ACTIVE
Monday,T08,09:51:00,ACTIVE
Monday,T09,09:59:30,ACTIVE
Monday,T10,10:08:00,ACTIVE
Monday,T11,10:16:30,ACTIVE
Monday,T12,10:25:00,ACTIVE
Monday,T13,10:33:30,ACTIVE
Monday,T14,10:42:00,ACTIVE
Monday,T15,10:50:30,ACTIVE
Monday,T16,10:59:00,ACTIVE
Monday,T17,11:00:00,ACTIVE
Monday,T18,11:10:00,ACTIVE
Monday,T19,11:20:00,ACTIVE
Monday,T20,11:30:00,ACTIVE
Monday,T26,11:40:00,ACTIVE
Monday,T27,11:50:00,ACTIVE
Monday,T28,12:00:00,ACTIVE
Monday,T29,12:10:00,ACTIVE
Monday,T30,12:20:00,ACTIVE
Monday,T01,12:30:00,ACTIVE
