day,train_id,train,direction,from_station,to_station,departure_time,arrival_time,status,replacement_train_id
Friday,TRAIN-01,TRAIN-01,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:00:00,06:48:00,ACTIVE,
Friday,TRAIN-02,TRAIN-02,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:08:00,06:56:00,ACTIVE,
Friday,TRAIN-03,TRAIN-03,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:17:00,07:05:00,ACTIVE,
Friday,TRAIN-04,TRAIN-04,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:25:00,07:13:00,ACTIVE,
Friday,TRAIN-05,TRAIN-05,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:34:00,07:22:00,ACTIVE,
Friday,TRAIN-06,TRAIN-06,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:42:00,07:30:00,ACTIVE,
Friday,TRAIN-07,TRAIN-07,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:51:00,07:39:00,ACTIVE,
Friday,TRAIN-08,TRAIN-08,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:59:00,07:47:00,ACTIVE,
Friday,TRAIN-09,TRAIN-09,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:00:00,07:48:00,ACTIVE,
Friday,TRAIN-10,TRAIN-10,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:06:00,07:54:00,ACTIVE,
Friday,TRAIN-11,TRAIN-11,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:13:00,08:01:00,ACTIVE,
Friday,TRAIN-12,TRAIN-12,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:20:00,08:08:00,ACTIVE,
Friday,TRAIN-13,TRAIN-13,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:27:00,08:15:00,ACTIVE,
Friday,TRAIN-14,TRAIN-14,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:33:00,08:21:00,ACTIVE,
Friday,TRAIN-15,TRAIN-15,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:40:00,08:28:00,ACTIVE,
Friday,TRAIN-16,TRAIN-16,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:47:00,08:35:00,ACTIVE,
Friday,TRAIN-17,TRAIN-17,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:54:00,08:42:00,ACTIVE,
Friday,TRAIN-18,TRAIN-18,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:00:00,08:48:00,ACTIVE,
Friday,TRAIN-19,TRAIN-19,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:07:00,08:55:00,ACTIVE,
Friday,TRAIN-20,TRAIN-20,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:14:00,09:02:00,ACTIVE,
Friday,TRAIN-21,TRAIN-21,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:21:00,09:09:00,ACTIVE,
