day,train_id,train,direction,from_station,to_station,departure_time,arrival_time,status
Saturday,TRAIN-01,TRAIN-01,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:00:00,06:46:50,ACTIVE
Saturday,TRAIN-02,TRAIN-02,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:10:00,06:56:50,ACTIVE
Saturday,TRAIN-03,TRAIN-03,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:20:00,07:06:50,ACTIVE
Saturday,TRAIN-04,TRAIN-04,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:30:00,07:16:50,ACTIVE
Saturday,TRAIN-05,TRAIN-05,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:40:00,07:26:50,ACTIVE
Saturday,TRAIN-06,TRAIN-06,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:50:00,07:36:50,ACTIVE
Saturday,TRAIN-01,TRAIN-01,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,06:56:50,07:43:40,ACTIVE
Saturday,TRAIN-07,TRAIN-07,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:00:00,07:46:50,ACTIVE
Saturday,TRAIN-02,TRAIN-02,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:06:50,07:53:40,ACTIVE
Saturday,TRAIN-08,TRAIN-08,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:08:30,07:55:20,ACTIVE
Saturday,TRAIN-03,TRAIN-03,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:16:50,08:03:40,ACTIVE
Saturday,TRAIN-09,TRAIN-09,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:17:00,08:03:50,ACTIVE
Saturday,TRAIN-10,TRAIN-10,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:25:30,08:12:20,ACTIVE
Saturday,TRAIN-04,TRAIN-04,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:26:50,08:13:40,ACTIVE
Saturday,TRAIN-11,TRAIN-11,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:34:00,08:20:50,ACTIVE
Saturday,TRAIN-05,TRAIN-05,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:36:50,08:23:40,ACTIVE
Saturday,TRAIN-12,TRAIN-12,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:42:30,08:29:20,ACTIVE
Saturday,TRAIN-06,TRAIN-06,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:46:50,08:33:40,ACTIVE
Saturday,TRAIN-13,TRAIN-13,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:51:00,08:37:50,ACTIVE
Saturday,TRAIN-07,TRAIN-07,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:56:50,08:43:40,ACTIVE
Saturday,TRAIN-14,TRAIN-14,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:59:30,08:46:20,ACTIVE
Saturday,TRAIN-08,TRAIN-08,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,08:05:20,08:52:10,ACTIVE
Saturday,TRAIN-15,TRAIN-15,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:08:00,08:54:50,ACTIVE
Saturday,TRAIN-09,TRAIN-09,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,08:13:50,09:00:40,ACTIVE
Saturday,TRAIN-16,TRAIN-16,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:16:30,09:03:20,ACTIVE
Saturday,TRAIN-10,TRAIN-10,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,08:22:20,09:09:10,ACTIVE
Saturday,TRAIN-17,TRAIN-17,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:25:00,09:11:50,ACTIVE
Saturday,TRAIN-11,TRAIN-11,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,08:30:50,09:17:40,ACTIVE
Saturday,TRAIN-18,TRAIN-18,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:33:30,09:20:20,ACTIVE
Saturday,TRAIN-12,TRAIN-12,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,08:39:20,09:26:10,ACTIVE
Saturday,TRAIN-19,TRAIN-19,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:42:00,09:28:50,ACTIVE
