day,train_id,train,direction,from_station,to_station,departure_time,arrival_time,status,replacement_train_id
Sunday,TRAIN-01,TRAIN-01,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:00:00,06:48:00,ACTIVE,
Sunday,TRAIN-02,TRAIN-02,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:10:00,06:58:00,ACTIVE,
Sunday,TRAIN-03,TRAIN-03,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:20:00,07:08:00,ACTIVE,
Sunday,TRAIN-04,TRAIN-04,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:30:00,07:18:00,ACTIVE,
Sunday,TRAIN-05,TRAIN-05,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:40:00,07:28:00,ACTIVE,
Sunday,TRAIN-06,TRAIN-06,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:50:00,07:38:00,ACTIVE,
Sunday,TRAIN-07,TRAIN-07,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:00:00,07:48:00,ACTIVE,
Sunday,TRAIN-08,TRAIN-08,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:10:00,07:58:00,ACTIVE,
Sunday,TRAIN-09,TRAIN-09,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:20:00,08:08:00,ACTIVE,
Sunday,TRAIN-10,TRAIN-10,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:30:00,08:18:00,ACTIVE,
Sunday,TRAIN-11,TRAIN-11,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:40:00,08:28:00,ACTIVE,
Sunday,TRAIN-12,TRAIN-12,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:50:00,08:38:00,ACTIVE,
Sunday,TRAIN-13,TRAIN-13,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:00:00,08:48:00,ACTIVE,
Sunday,TRAIN-14,TRAIN-14,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:10:00,08:58:00,ACTIVE,
