day,train_id,train,direction,from_station,to_station,departure_time,arrival_time,status
Wednesday,TRAIN-01,TRAIN-01,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:00:00,06:46:50,ACTIVE
Wednesday,TRAIN-02,TRAIN-02,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:08:00,06:54:50,ACTIVE
Wednesday,TRAIN-03,TRAIN-03,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:17:00,07:03:50,ACTIVE
Wednesday,TRAIN-04,TRAIN-04,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:25:00,07:11:50,ACTIVE
Wednesday,TRAIN-05,TRAIN-05,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:34:00,07:20:50,ACTIVE
Wednesday,TRAIN-06,TRAIN-06,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:42:00,07:28:50,ACTIVE
Wednesday,TRAIN-07,TRAIN-07,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,06:51:00,07:37:50,ACTIVE
Wednesday,TRAIN-01,TRAIN-01,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,06:56:50,07:43:40,ACTIVE
Wednesday,TRAIN-08,TRAIN-08,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:00:00,07:46:50,ACTIVE
Wednesday,TRAIN-02,TRAIN-02,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:04:50,07:51:40,ACTIVE
Wednesday,TRAIN-09,TRAIN-09,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:06:00,07:52:50,ACTIVE
Wednesday,TRAIN-10,TRAIN-10,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:13:00,07:59:50,ACTIVE
Wednesday,TRAIN-03,TRAIN-03,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:13:50,08:00:40,ACTIVE
Wednesday,TRAIN-11,TRAIN-11,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:20:00,08:06:50,ACTIVE
Wednesday,TRAIN-04,TRAIN-04,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:21:50,08:08:40,ACTIVE
Wednesday,TRAIN-12,TRAIN-12,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:27:00,08:13:50,ACTIVE
Wednesday,TRAIN-05,TRAIN-05,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:30:50,08:17:40,ACTIVE
Wednesday,TRAIN-13,TRAIN-13,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:33:00,08:19:50,ACTIVE
Wednesday,TRAIN-06,TRAIN-06,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:38:50,08:25:40,ACTIVE
Wednesday,TRAIN-14,TRAIN-14,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:40:00,08:26:50,ACTIVE
Wednesday,TRAIN-15,TRAIN-15,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:47:00,08:33:50,ACTIVE
Wednesday,TRAIN-07,TRAIN-07,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:47:50,08:34:40,ACTIVE
Wednesday,TRAIN-16,TRAIN-16,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,07:54:00,08:40:50,ACTIVE
Wednesday,TRAIN-08,TRAIN-08,TRIPUNITHURA_TO_ALUVA,Tripunithura Terminal,Aluva,07:56:50,08:43:40,ACTIVE
Wednesday,TRAIN-17,TRAIN-17,ALUVA_TO_TRIPUNITHURA,Aluva,Tripunithura Terminal,08:00:00,08:46:50,ACTIVE
